Name,Polygon_Unit_ID,Sampling_Unit,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Lat,Long,Date,Time,Scale,source,photo,brightness
DTR_28_X3595_Y43,DTR_28,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.462926,-119.6369,2011_07_19,2130,7_5m,AVIRIS_r21,na,1142.67
DTR_22_X3567_Y67,DTR_22,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469382,-119.64064,2011_07_1492,2143,7_5m,AVIRIS_r22,na,1144.82
DTR_24_X3527_Y77,DTR_24,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.468797,-119.64393,2011_07_1898,2143,7_5m,AVIRIS_r22,na,1145.77
DTR_22_X3562_Y68,DTR_22,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469326,-119.64105,2011_07_1498,2143,7_5m,AVIRIS_r22,na,1146.33
DTR_28_X3608_Y42,DTR_28,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.462964,-119.63584,2011_07_19,2130,7_5m,AVIRIS_r21,na,1155.35
DTR_18_X3552_Y26,DTR_18,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472184,-119.64176,2011_07_371,2143,7_5m,AVIRIS_r22,na,1159.45
DTR_28_X3606_Y44,DTR_28,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.462833,-119.63601,2011_07_19,2130,7_5m,AVIRIS_r21,na,1162.86
DTR_28_X3605_Y41,DTR_28,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.463038,-119.63608,2011_07_19,2130,7_5m,AVIRIS_r21,na,1166.55
DTR_19_X3565_Y40,DTR_19,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.47121,-119.64073,2011_07_914,2143,7_5m,AVIRIS_r22,na,1172.9
DTR_28_X3628_Y164,DTR_28,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.462696,-119.63593,2011_07_2941,2143,7_5m,AVIRIS_r22,na,1172.94
DTR_22_X3571_Y62,DTR_22,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469711,-119.64031,2011_07_1420,2143,7_5m,AVIRIS_r22,na,1176.77
DTR_19_X3561_Y45,DTR_19,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.470881,-119.64107,2011_07_989,2143,7_5m,AVIRIS_r22,na,1177.06
DTR_26_X3651_Y124,DTR_26,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.465345,-119.63395,2011_07_2539,2143,7_5m,AVIRIS_r22,na,1178.82
DTR_26_X3646_Y131,DTR_26,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.464884,-119.63438,2011_07_2715,2143,7_5m,AVIRIS_r22,na,1179.76
DTR_26_X3653_Y126,DTR_26,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.465206,-119.63379,2011_07_2593,2143,7_5m,AVIRIS_r22,na,1183.5
DTR_19_X3563_Y40,DTR_19,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471214,-119.6409,2011_07_912,2143,7_5m,AVIRIS_r22,na,1188.63
DTR_26_X3646_Y130,DTR_26,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.464951,-119.63438,2011_07_2692,2143,7_5m,AVIRIS_r22,na,1189.25
DTR_24_X3533_Y75,DTR_24,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.468919,-119.64344,2011_07_1882,2143,7_5m,AVIRIS_r22,na,1194.11
DTR_23_X3514_Y63,DTR_23,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469771,-119.64495,2011_07_1570,2143,7_5m,AVIRIS_r22,na,1205.36
DTR_24_X3529_Y82,DTR_24,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.468455,-119.64378,2011_07_1974,2143,7_5m,AVIRIS_r22,na,1209.97
DTR_25_X3542_Y95,DTR_25,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.467548,-119.64276,2011_07_1746,2143,7_5m,AVIRIS_r22,na,1214.46
DTR_25_X3546_Y107,DTR_25,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.466729,-119.64246,2011_07_1857,2143,7_5m,AVIRIS_r22,na,1215.98
DTR_19_X3568_Y38,DTR_19,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471338,-119.64048,2011_07_875,2143,7_5m,AVIRIS_r22,na,1237.96
DTR_19_X3568_Y37,DTR_19,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471406,-119.64048,2011_07_851,2143,7_5m,AVIRIS_r22,na,1268.81
DTR_19_X3583_Y35,DTR_19,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471507,-119.63925,2011_07_815,2143,7_5m,AVIRIS_r22,na,1280.89
DTR_25_X3544_Y106,DTR_25,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.466798,-119.64254,2011_07_1849,2143,7_5m,AVIRIS_r22,na,1298.01
DTR_24_X3536_Y78,DTR_24,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.468709,-119.6432,2011_07_1921,2143,7_5m,AVIRIS_r22,na,1299.42
DTR_25_X3547_Y90,DTR_25,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.467874,-119.64234,2011_07_1687,2143,7_5m,AVIRIS_r22,na,1313.94
DTR_24_X3534_Y75,DTR_24,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.468916,-119.64336,2011_07_1883,2143,7_5m,AVIRIS_r22,na,1328.06
DTR_19_X3572_Y35,DTR_19,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471532,-119.64015,2011_07_804,2143,7_5m,AVIRIS_r22,na,1349.03
DTR_25_X3547_Y104,DTR_25,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.466929,-119.64238,2011_07_1837,2143,7_5m,AVIRIS_r22,na,1361.14
DTR_24_X3539_Y82,DTR_24,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.468432,-119.64297,2011_07_1984,2143,7_5m,AVIRIS_r22,na,1408.35
DTR_24_X3527_Y79,DTR_24,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.468662,-119.64394,2011_07_1928,2143,7_5m,AVIRIS_r22,na,1451.76
DTR_25_X3541_Y90,DTR_25,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.467888,-119.64283,2011_07_1681,2143,7_5m,AVIRIS_r22,na,1492.84
DTR_24_X3532_Y73,DTR_24,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469056,-119.64351,2011_07_1869,2143,7_5m,AVIRIS_r22,na,1513
DTR_24_X3532_Y77,DTR_24,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.468786,-119.64353,2011_07_1903,2143,7_5m,AVIRIS_r22,na,1530.31
DTR_23_X3519_Y70,DTR_23,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469287,-119.64457,2011_07_1643,2143,7_5m,AVIRIS_r22,na,1541.83
DTR_25_X3550_Y88,DTR_25,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.468003,-119.64209,2011_07_1663,2143,7_5m,AVIRIS_r22,na,1722.61
DTR_22_X3569_Y62,DTR_22,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469716,-119.64047,2011_07_1418,2143,7_5m,AVIRIS_r22,na,1776.5
DTR_23_X3523_Y67,DTR_23,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469492,-119.64464,2011_07_1631,2143,7_5m,AVIRIS_r22,na,1891.16
DTR_17_X3425_Y27,DTR_17,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472399,-119.65203,2011_07_194,2143,7_5m,AVIRIS_r22,na,786.683
DTR_17_X3426_Y27,DTR_17,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472397,-119.65195,2011_07_195,2143,7_5m,AVIRIS_r22,na,787.129
DTR_17_X3431_Y17,DTR_17,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.473063,-119.6516,2011_07_67,2143,7_5m,AVIRIS_r22,na,810.594
DTR_17_X3427_Y26,DTR_17,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472464,-119.65195,2011_07_187,2143,7_5m,AVIRIS_r22,na,812.924
DTR_17_X3426_Y16,DTR_17,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.473142,-119.652,2011_07_46,2143,7_5m,AVIRIS_r22,na,826.701
DTR_15_X4044_Y122,DTR_15,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.464593,-119.60191,2011_07_4309,2143,7_5m,AVIRIS_r22,na,840.728
DTR_17_X3423_Y28,DTR_17,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472338,-119.65228,2011_07_200,2143,7_5m,AVIRIS_r22,na,843.473
DTR_17_X3421_Y25,DTR_17,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472545,-119.65243,2011_07_172,2143,7_5m,AVIRIS_r22,na,843.643
DTR_15_X4046_Y127,DTR_15,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.464248,-119.60168,2011_07_4345,2143,7_5m,AVIRIS_r22,na,866.152
DTR_15_X4047_Y125,DTR_15,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.464381,-119.60159,2011_07_4333,2143,7_5m,AVIRIS_r22,na,887.915
DTR_17_X3432_Y22,DTR_17,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472723,-119.65153,2011_07_147,2143,7_5m,AVIRIS_r22,na,890.563
DTR_21_X3542_Y18,DTR_21,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472747,-119.64255,2011_07_225,2143,7_5m,AVIRIS_r22,na,904.906
DTR_17_X3427_Y19,DTR_17,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472937,-119.65193,2011_07_97,2143,7_5m,AVIRIS_r22,na,927.799
DTR_23_X3511_Y62,DTR_23,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469846,-119.6452,2011_07_1555,2143,7_5m,AVIRIS_r22,na,940.741
DTR_15_X4046_Y121,DTR_15,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.464654,-119.60166,2011_07_4305,2143,7_5m,AVIRIS_r22,na,945.058
DTR_15_X4047_Y121,DTR_15,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.464651,-119.60158,2011_07_4306,2143,7_5m,AVIRIS_r22,na,949.491
DTR_18_X3537_Y29,DTR_18,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472015,-119.64299,2011_07_405,2143,7_5m,AVIRIS_r22,na,952.156
DTR_18_X3544_Y31,DTR_18,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471865,-119.64242,2011_07_447,2143,7_5m,AVIRIS_r22,na,952.406
DTR_23_X3512_Y66,DTR_23,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469573,-119.64512,2011_07_1614,2143,7_5m,AVIRIS_r22,na,955.348
DTR_18_X3538_Y34,DTR_18,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471676,-119.64292,2011_07_502,2143,7_5m,AVIRIS_r22,na,959.451
DTR_21_X3545_Y21,DTR_21,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472538,-119.64231,2011_07_249,2143,7_5m,AVIRIS_r22,na,965.518
DTR_18_X3537_Y35,DTR_18,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.47161,-119.643,2011_07_521,2143,7_5m,AVIRIS_r22,na,969.415
DTR_18_X3536_Y27,DTR_18,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472153,-119.64306,2011_07_372,2143,7_5m,AVIRIS_r22,na,978.701
DTR_21_X3546_Y22,DTR_21,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472468,-119.64223,2011_07_267,2143,7_5m,AVIRIS_r22,na,979.911
DTR_18_X3540_Y30,DTR_18,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471941,-119.64275,2011_07_425,2143,7_5m,AVIRIS_r22,na,984.54
DTR_15_X4044_Y115,DTR_15,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.465063,-119.60181,2011_07_4271,2143,7_5m,AVIRIS_r22,na,990.603
vgmmue.006-,Constance_State,polygon,pervious,GV,herb,annual,forb,na,ANNUAL_FORB,34.4373,-119.6926,2001_05_30,22,field,asd,none,1638.01
vgmmue.005-,Constance_State,polygon,pervious,GV,herb,annual,forb,na,ANNUAL_FORB,34.4373,-119.6926,2001_05_30,22,field,asd,none,1655.65
